% Usage, time(24h)
 4.0,2022-06-07 11:34:05.359103
 4.0,2022-06-07 11:34:05.858928
 4.0,2022-06-07 11:34:06.358901
 4.0,2022-06-07 11:34:06.858768
 4.0,2022-06-07 11:34:07.360390
 4.0,2022-06-07 11:34:07.858869
 2.0,2022-06-07 11:34:08.359001
 4.0,2022-06-07 11:34:08.858998
 4.0,2022-06-07 11:34:09.358962
 4.0,2022-06-07 11:34:09.859047
 6.0,2022-06-07 11:34:10.359005
 4.0,2022-06-07 11:34:10.858914
 4.0,2022-06-07 11:34:11.359097
 4.0,2022-06-07 11:34:11.859279
 4.0,2022-06-07 11:34:12.359019
 4.0,2022-06-07 11:34:12.858920
 4.0,2022-06-07 11:34:13.359232
 4.0,2022-06-07 11:34:13.858968
 4.0,2022-06-07 11:34:14.360367
 4.0,2022-06-07 11:34:14.858924
 2.0,2022-06-07 11:34:15.358850
 6.0,2022-06-07 11:34:15.858797
 4.0,2022-06-07 11:34:16.359059
 4.0,2022-06-07 11:34:16.858910
 4.0,2022-06-07 11:34:17.359221
 4.0,2022-06-07 11:34:17.858744
 2.0,2022-06-07 11:34:18.358778
 6.0,2022-06-07 11:34:18.859103
 2.0,2022-06-07 11:34:19.358943
 4.0,2022-06-07 11:34:19.858808
 4.0,2022-06-07 11:34:20.358986
 2.0,2022-06-07 11:34:20.858856
 6.0,2022-06-07 11:34:21.358895
 4.0,2022-06-07 11:34:21.859051
 4.0,2022-06-07 11:34:22.359355
 4.0,2022-06-07 11:34:22.858715
 4.0,2022-06-07 11:34:23.359127
 4.0,2022-06-07 11:34:23.858849
 4.0,2022-06-07 11:34:24.359151
 4.0,2022-06-07 11:34:24.858847
 4.0,2022-06-07 11:34:25.358792
 2.0,2022-06-07 11:34:25.859978
 4.0,2022-06-07 11:34:26.358829
 4.0,2022-06-07 11:34:26.859296
 4.0,2022-06-07 11:34:27.358981
 4.0,2022-06-07 11:34:27.858748
 6.0,2022-06-07 11:34:28.359084
 2.0,2022-06-07 11:34:28.858880
 4.0,2022-06-07 11:34:29.359258
 4.0,2022-06-07 11:34:29.859157
 4.0,2022-06-07 11:34:30.359544
 4.0,2022-06-07 11:34:30.860423
 4.0,2022-06-07 11:34:31.359258
 4.0,2022-06-07 11:34:31.858963
 4.0,2022-06-07 11:34:32.359111
 4.0,2022-06-07 11:34:32.858936
 4.0,2022-06-07 11:34:33.358787
 4.0,2022-06-07 11:34:33.858871
 4.0,2022-06-07 11:34:34.358690
 6.0,2022-06-07 11:34:34.859300
 2.0,2022-06-07 11:34:35.359014
 6.0,2022-06-07 11:34:35.859015
 4.0,2022-06-07 11:34:36.358909
 2.0,2022-06-07 11:34:36.858939
 4.0,2022-06-07 11:34:37.359282
 4.0,2022-06-07 11:34:37.859053
 6.0,2022-06-07 11:34:38.359063
 4.0,2022-06-07 11:34:38.858804
 4.0,2022-06-07 11:34:39.359756
 4.0,2022-06-07 11:34:39.858868
 4.0,2022-06-07 11:34:40.359117
 6.0,2022-06-07 11:34:40.858937
 4.0,2022-06-07 11:34:41.359278
 4.0,2022-06-07 11:34:41.859247
 4.0,2022-06-07 11:34:42.359221
 4.0,2022-06-07 11:34:42.859017
 4.0,2022-06-07 11:34:43.359630
 4.0,2022-06-07 11:34:43.859320
 4.0,2022-06-07 11:34:44.359027
 4.0,2022-06-07 11:34:44.858880
 4.0,2022-06-07 11:34:45.358959
 4.0,2022-06-07 11:34:45.859126
 2.0,2022-06-07 11:34:46.360339
 6.0,2022-06-07 11:34:46.859196
 4.0,2022-06-07 11:34:47.359541
 4.0,2022-06-07 11:34:47.859042
 4.0,2022-06-07 11:34:48.358779
 4.0,2022-06-07 11:34:48.859078
 4.0,2022-06-07 11:34:49.358899
 6.0,2022-06-07 11:34:49.859177
 4.0,2022-06-07 11:34:50.359129
 4.0,2022-06-07 11:34:50.858943
 2.0,2022-06-07 11:34:51.359104
 4.0,2022-06-07 11:34:51.859852
 4.0,2022-06-07 11:34:52.358957
 4.0,2022-06-07 11:34:52.860621
 6.0,2022-06-07 11:34:53.359365
 4.0,2022-06-07 11:34:53.859433
 4.0,2022-06-07 11:34:54.358854
 4.0,2022-06-07 11:34:54.859252
 4.0,2022-06-07 11:34:55.360769
 4.0,2022-06-07 11:34:55.858853
 2.0,2022-06-07 11:34:56.359061
 4.0,2022-06-07 11:34:56.858899
 4.0,2022-06-07 11:34:57.358956
 4.0,2022-06-07 11:34:57.860191
 6.0,2022-06-07 11:34:58.359263
 4.0,2022-06-07 11:34:58.860801
 4.0,2022-06-07 11:34:59.359400
 6.0,2022-06-07 11:34:59.859111
 2.0,2022-06-07 11:35:00.359153
 4.0,2022-06-07 11:35:00.859417
 4.0,2022-06-07 11:35:01.359462
 6.0,2022-06-07 11:35:01.858972
 4.0,2022-06-07 11:35:02.359084
 4.0,2022-06-07 11:35:02.859093
 2.0,2022-06-07 11:35:03.359085
 4.0,2022-06-07 11:35:03.859183
 6.0,2022-06-07 11:35:04.359067
 2.0,2022-06-07 11:35:04.859285
 4.0,2022-06-07 11:35:05.359185
 4.0,2022-06-07 11:35:05.859374
 6.0,2022-06-07 11:35:06.359090
 2.0,2022-06-07 11:35:06.859235
 4.0,2022-06-07 11:35:07.359097
 4.0,2022-06-07 11:35:07.860732
 6.0,2022-06-07 11:35:08.359077
 4.0,2022-06-07 11:35:08.859216
 4.0,2022-06-07 11:35:09.359045
 4.0,2022-06-07 11:35:09.858762
 2.0,2022-06-07 11:35:10.359188
 6.0,2022-06-07 11:35:10.858852
 4.0,2022-06-07 11:35:11.358779
 4.0,2022-06-07 11:35:11.859120
 2.0,2022-06-07 11:35:12.359318
 6.0,2022-06-07 11:35:12.859026
 4.0,2022-06-07 11:35:13.359143
 4.0,2022-06-07 11:35:13.859210
 4.0,2022-06-07 11:35:14.358838
 4.0,2022-06-07 11:35:14.858945
 6.0,2022-06-07 11:35:15.359177
 4.0,2022-06-07 11:35:15.859053
 2.0,2022-06-07 11:35:16.358760
 6.0,2022-06-07 11:35:16.859094
 2.0,2022-06-07 11:35:17.359355
 6.0,2022-06-07 11:35:17.858996
 6.0,2022-06-07 11:35:18.358981
