% Usage, time(24h)
 26.0,2022-06-07 11:07:58.858586
 26.0,2022-06-07 11:07:59.358561
 24.0,2022-06-07 11:07:59.858565
 26.0,2022-06-07 11:08:00.358614
 22.0,2022-06-07 11:08:00.858541
 22.0,2022-06-07 11:08:01.358321
 22.0,2022-06-07 11:08:01.858537
 24.0,2022-06-07 11:08:02.358566
 26.0,2022-06-07 11:08:02.858460
 22.0,2022-06-07 11:08:03.358557
 26.0,2022-06-07 11:08:03.858535
 24.0,2022-06-07 11:08:04.358441
 28.0,2022-06-07 11:08:04.858559
 26.0,2022-06-07 11:08:05.358576
 26.0,2022-06-07 11:08:05.858495
 24.0,2022-06-07 11:08:06.358516
 28.0,2022-06-07 11:08:06.858393
 24.0,2022-06-07 11:08:07.358584
 24.0,2022-06-07 11:08:07.858226
 18.0,2022-06-07 11:08:08.358562
 22.0,2022-06-07 11:08:08.858417
 24.0,2022-06-07 11:08:09.358550
 28.0,2022-06-07 11:08:09.858872
 24.0,2022-06-07 11:08:10.358377
 26.0,2022-06-07 11:08:10.858552
 26.0,2022-06-07 11:08:11.358755
 24.0,2022-06-07 11:08:11.858793
 24.0,2022-06-07 11:08:12.358495
 26.0,2022-06-07 11:08:12.858533
 24.0,2022-06-07 11:08:13.358499
 26.0,2022-06-07 11:08:13.858551
 24.0,2022-06-07 11:08:14.358521
 26.0,2022-06-07 11:08:14.858137
 20.0,2022-06-07 11:08:15.358541
 22.0,2022-06-07 11:08:15.858830
 22.0,2022-06-07 11:08:16.358347
 26.0,2022-06-07 11:08:16.858849
 24.0,2022-06-07 11:08:17.358547
 24.0,2022-06-07 11:08:17.858648
 20.0,2022-06-07 11:08:18.358356
 22.0,2022-06-07 11:08:18.858523
 20.0,2022-06-07 11:08:19.358510
 30.0,2022-06-07 11:08:19.858516
 24.0,2022-06-07 11:08:20.358531
 26.0,2022-06-07 11:08:20.858860
 24.0,2022-06-07 11:08:21.358559
 24.0,2022-06-07 11:08:21.858457
 24.0,2022-06-07 11:08:22.358856
 28.0,2022-06-07 11:08:22.858516
 22.0,2022-06-07 11:08:23.358366
 28.0,2022-06-07 11:08:23.858576
 22.0,2022-06-07 11:08:24.358289
 22.0,2022-06-07 11:08:24.858735
 24.0,2022-06-07 11:08:25.358640
 24.0,2022-06-07 11:08:25.858479
 26.0,2022-06-07 11:08:26.358415
 24.0,2022-06-07 11:08:26.858538
 24.0,2022-06-07 11:08:27.358472
 26.0,2022-06-07 11:08:27.858466
 20.0,2022-06-07 11:08:28.358606
 26.0,2022-06-07 11:08:28.858550
 24.0,2022-06-07 11:08:29.358531
 26.0,2022-06-07 11:08:29.858474
 24.0,2022-06-07 11:08:30.358559
 24.0,2022-06-07 11:08:30.858527
 22.0,2022-06-07 11:08:31.358326
 24.0,2022-06-07 11:08:31.858507
 20.0,2022-06-07 11:08:32.358502
 22.0,2022-06-07 11:08:32.858383
 20.0,2022-06-07 11:08:33.358554
 20.0,2022-06-07 11:08:33.858489
 24.0,2022-06-07 11:08:34.358545
 24.0,2022-06-07 11:08:34.858522
 24.0,2022-06-07 11:08:35.358385
 22.0,2022-06-07 11:08:35.858406
 24.0,2022-06-07 11:08:36.358499
 18.0,2022-06-07 11:08:36.858543
 22.0,2022-06-07 11:08:37.358382
 22.0,2022-06-07 11:08:37.858396
 18.0,2022-06-07 11:08:38.358489
 24.0,2022-06-07 11:08:38.858622
 22.0,2022-06-07 11:08:39.358551
 24.0,2022-06-07 11:08:39.858625
 26.0,2022-06-07 11:08:40.358505
 24.0,2022-06-07 11:08:40.858538
 24.0,2022-06-07 11:08:41.358624
 18.0,2022-06-07 11:08:41.858483
 26.0,2022-06-07 11:08:42.358548
 24.0,2022-06-07 11:08:42.858529
 24.0,2022-06-07 11:08:43.358798
 24.0,2022-06-07 11:08:43.858241
 18.0,2022-06-07 11:08:44.358465
 20.0,2022-06-07 11:08:44.858498
 22.0,2022-06-07 11:08:45.358524
 22.0,2022-06-07 11:08:45.858531
 26.0,2022-06-07 11:08:46.358545
 24.0,2022-06-07 11:08:46.858520
 24.0,2022-06-07 11:08:47.358606
 22.0,2022-06-07 11:08:47.858546
 18.0,2022-06-07 11:08:48.358539
 24.0,2022-06-07 11:08:48.858314
 16.0,2022-06-07 11:08:49.358814
 24.0,2022-06-07 11:08:49.858433
 26.0,2022-06-07 11:08:50.358525
 26.0,2022-06-07 11:08:50.858589
 28.0,2022-06-07 11:08:51.358478
 20.0,2022-06-07 11:08:51.858399
 24.0,2022-06-07 11:08:52.358536
 24.0,2022-06-07 11:08:52.858571
 18.0,2022-06-07 11:08:53.358556
